SK_ID_CURR,TARGET
100001,0.0339
100005,0.0860
100013,0.0294
100028,0.0353
100038,0.1596
100042,0.0691
100057,0.0258
100065,0.1028
100066,0.0195
100067,0.1770
100074,0.0810
100090,0.0583
100091,0.1052
100092,0.1280
100106,0.0575
100107,0.0914
100109,0.0704
100117,0.0186
100128,0.1244
100141,0.0216
100150,0.0265
100168,0.0197
100169,0.0594
100170,0.0528
100171,0.0310
100172,0.0834
100184,0.1174
100187,0.0818
100212,0.0682
100222,0.0840
100223,0.0196
100232,0.0270
100241,0.1247
100245,0.0234
100253,0.0676
100256,0.0944
100271,0.0144
100278,0.1143
100280,0.0117
100306,0.0848
100311,0.1169
100312,0.0146
100330,0.0577
100331,0.0201
100352,0.0785
100358,0.0581
100367,0.0411
100382,0.1856
100384,0.0749
100385,0.1099
100386,0.0461
100399,0.0288
100404,0.1150
100416,0.0315
100422,0.0426
100426,0.0629
100438,0.0231
100444,0.0938
100445,0.1305
100446,0.1424
100447,0.0398
100450,0.0730
100466,0.0192
100483,0.0592
100484,0.0139
100494,0.0618
100510,0.1044
100512,0.0243
100517,0.0201
100548,0.0981
100551,0.0183
100552,0.1019
100553,0.0250
100561,0.2205
100568,0.4109
100569,0.0501
100591,0.0345
100592,0.0185
100602,0.0596
100607,0.0411
100613,0.0869
100617,0.1793
100618,0.0401
100622,0.0390
100625,0.1650
100677,0.1308
100699,0.0535
100702,0.3516
100711,0.1412
100729,0.1190
100740,0.1327
100744,0.1082
100745,0.0504
100747,0.1094
100751,0.2806
100752,0.0992
100753,0.1813
100754,0.2147
100760,0.0403
100762,0.1110
100763,0.0653
100765,0.0364
100770,0.1175
100772,0.0168
100777,0.0493
100791,0.0373
100792,0.0142
100797,0.0269
100823,0.0101
100826,0.0423
100830,0.0423
100836,0.1438
100872,0.0584
100910,0.1230
100913,0.2324
100918,0.0810
100931,0.0063
100952,0.0572
100953,0.0552
100965,0.1403
100970,0.0438
100982,0.0845
100983,0.1807
100984,0.0772
100987,0.0837
100997,0.0793
100998,0.0697
101002,0.0540
101005,0.1514
101008,0.0895
101020,0.0876
101021,0.0248
101024,0.0633
101025,0.1012
101026,0.0708
101031,0.0298
101041,0.0197
101051,0.0153
101055,0.0568
101056,0.2439
101057,0.0532
101064,0.0591
101079,0.1399
101087,0.0641
101090,0.0413
101092,0.0975
101097,0.0730
101099,0.0301
101107,0.0578
101118,0.0506
101125,0.0867
101126,0.0309
101128,0.0154
101136,0.1415
101140,0.1588
101149,0.1585
101160,0.1001
101169,0.1585
101181,0.0250
101186,0.0399
101190,0.0775
101193,0.0566
101194,0.1709
101198,0.1143
101200,0.0617
101204,0.0315
101211,0.0756
101213,0.1118
101223,0.0425
101225,0.0640
101237,0.0899
101243,0.0851
101244,0.2254
101258,0.0397
101259,0.1505
101268,0.0760
101269,0.0269
101271,0.1191
101279,0.0672
101281,0.2190
101287,0.0299
101292,0.0317
101294,0.0245
101296,0.0878
101297,0.0277
101299,0.1202
101301,0.0321
101305,0.0676
101308,0.1702
101318,0.0256
101327,0.2618
101329,0.0341
101332,0.0788
101337,0.0397
101343,0.0444
101345,0.0160
101346,0.0182
101353,0.0253
